User;Text;Opniao;Date
gabseira;RT @Adriana_Accorsi: A Folha de São Paulo fez uma matéria sobre a repercussão de homenagens ao presidente Bolsonaro em todo o país. Como eu…;Positivo;Fri May 31 23:02:53 +0000 2019
JocaldaSilva;"RT @Florisrs: Porque o país está esta desgraceira toda?
Porque conta com jornais e emissoras de rádio e TV que mentem para ganhar um contra…";;Fri May 31 22:51:21 +0000 2019
jonatasdepaula;"Quando a notícia é boa para o governo Bolsonaro a Folha de São Paulo boicota até a manchete.
Reduz o quê? O preço?… https://t.co/VkP4fH02C4";;Fri May 31 22:25:09 +0000 2019
netoantero;Segundo a Globo, Jornal do Comércio e a Folha de São Paulo as manifestações de hoje foi um sucesso. em Onde Os Sonh… https://t.co/YYUiwKmfxI;;Fri May 31 22:01:46 +0000 2019
cesarinicarlos;@BlogDoPim Felipe assim como o Villa não tá na hora ou já passou da hora de você encaminhar a Vera Magalhães para a… https://t.co/4nN6zAWRSU;;Fri May 31 21:46:15 +0000 2019
RafaelrfAbreu;@gleisi Huahuahua the economist ou folha de São Paulo, o que pode ser pior.;Negativo;Fri May 31 21:46:13 +0000 2019
Soloyo42301839;@Carlos_sierra2 @soledadbravo531 Folha de São Paulo, fake news....  busquen lá verdad antes de opinar;;Fri May 31 21:30:56 +0000 2019
FranCastro;O empresário Luciano Hang, dono das lojas Havan e um dos maiores apoiadores de Jair Bolsonaro, comprou um Bombardie… https://t.co/mGSHjhxaRG;Negativo;Fri May 31 21:24:00 +0000 2019
EudesPereirado4;@RenovaMidia Falou chuchu, tão relevante quanto à Folha de São Paulo.;;Fri May 31 21:22:34 +0000 2019
mmarescast;"A ordem vindo da autoridade máxima, como não obedecer? Tá limpo!

""Em Anápolis (GO), presidente incentivou caminhon… https://t.co/o0l3Q31OTc";;Fri May 31 21:20:21 +0000 2019
drrenatosantos;https://t.co/gx82yRwsZS  GAZETA  CENTRAL  DESMENTE  A FOLHA DE  SÃO PAULO https://t.co/Jj2PkjOQK7;;Fri May 31 20:53:47 +0000 2019
thcalicchio;@o_antagonista Kkkkkk, estão pior que a Globo lixo e a Folha de São Paulo;Negativo;Fri May 31 20:51:08 +0000 2019
portalzacarias;"DEU NO ""PORTAL DO ZACARIAS"":

'CORREIO DO ZACA': INIMIGA DO AMAZONAS, 'FOLHA DE SÃO PAULO' TENTA MAS NÃO CONSEGUE A… https://t.co/8FfhIg8HYW";;Fri May 31 20:46:01 +0000 2019
culturaonlinebr;Folha de São Paulo:  “Segundo deputados e líderes ouvidos em condição de anonimato,... https://t.co/IJS4P4KwQr;;Fri May 31 20:38:06 +0000 2019
WilsonF87064959;"Já cancelaram suas assinaturas de veiculos que mamavam nas tetas do governo 
Valor economico 
Portal (iG)
Revista v… https://t.co/y2dmoLyAuM";;Fri May 31 20:34:39 +0000 2019
Adriana_Accorsi;A Folha de São Paulo fez uma matéria sobre a repercussão de homenagens ao presidente Bolsonaro em todo o país. Como… https://t.co/GnewowDLOY;;Fri May 31 20:17:15 +0000 2019
Ferro05926885;@folha @BlogdoNoblat Raquel Landim? Quem é essa senhora? Folha de São Paulo? Credibilidade de uma nota de $3,00.  G… https://t.co/s03HR0SqvT;;Fri May 31 19:53:30 +0000 2019
alirioc;"Uai, gente! A Folha de São Paulo só tem o "" rabo preso com o leitor""? Ótima oportunidade para a Mônica Bergamo! Vai… https://t.co/rMH7320Vb1";;Fri May 31 19:51:55 +0000 2019
ApolloSP;Impressionante como alguns meios de comunicação como o Globo , folha de São Paulo , veja e Estadão estão totalmente… https://t.co/qeYgQ0ORHV;;Fri May 31 19:37:15 +0000 2019
LealLunardi1;RT @lemos7_nanda: Parabénsa folha de São Paulo por ter observado que Bolsonaro não fala inglês. Realmente é um grande progresso pra quem pa…;;Fri May 31 19:34:09 +0000 2019
simoneR30923926;@JoelPinheiro85 @andreazzaeditor E crítico muito a imprensa....principalmente a Globo e Folha de São Paulo que são… https://t.co/hlWPSX75tj;;Fri May 31 19:11:13 +0000 2019
Bolsonaro_Ce;@p_hotoshooting @flferronato @BlogdoNoblat Uma pessoa que consulta o Noblat, exame, folha de são paulo, ainda quere… https://t.co/YxOKSRDxOR;;Fri May 31 19:08:56 +0000 2019
Jniorleo;Esse tweet conseguiu ser mais merda q o da folha de são Paulo falando q godzila é porradaria de monstro https://t.co/uSyLc5fpjn;Negativo;Fri May 31 19:07:20 +0000 2019
MarcielBezerra4;@jairbolsonaro Folha de São Paulo?;Neutro;Fri May 31 18:24:49 +0000 2019
Fernand39704031;@JoelPinheiro85 @andreazzaeditor Terça livre Brasil 247 e folha de São paulo tô fora;;Fri May 31 18:10:35 +0000 2019
mikameiaa;RT @GabrielAntonino: Gente e eu quem saí dando entrevista pra folha de São Paulo hoje???? https://t.co/MNSzg5uB5g;Neutro;Fri May 31 17:50:40 +0000 2019
Antonioagsn;@randolfeap Sério que você quer usar a versão inglesa da Folha de São Paulo pra fazer uma crítica típica de esquerd… https://t.co/D13nNw1fOE;Neutro;Fri May 31 17:33:13 +0000 2019
Jbo98243515;@folha Nos gritamos fora folha de são Paulo;Negativo;Fri May 31 17:18:54 +0000 2019
Simordem2;@folha Não somente os jornalistas da Folha de São Paulo e os comentaristas da GloboNews que o são.;Neutro;Fri May 31 17:09:10 +0000 2019
Olar_renatinha;@Kboughoff Amiigaaa, estamos na Folha de São Paulo ??;Neutro;Fri May 31 16:51:17 +0000 2019
GabrielACFSCCP;@claitonsuassun @isisbatista777 @HLLWNephilim Eles não analisaram, por exemplo a matéria da Folha de São Paulo que… https://t.co/W9MaXviu6b;Neutro;Fri May 31 16:28:55 +0000 2019
sabatinelli;Quem te viu, quem te vê, Folha de São Paulo. https://t.co/nVeypEvSuu;Irrelevante;Fri May 31 16:25:01 +0000 2019
Campos2Detty;@vacafardada Muito maus credibilidade que a Globosta e a Folha de São Paulo,  que defendem corrupto da quadrilha vermelha.;Negativo;Fri May 31 16:18:56 +0000 2019
tereza_al;EU QUERO A FOLHA DE SÃO PAULO FICANDO ATENTA A TUDO KKKKKKK;Irrelevante;Fri May 31 15:53:04 +0000 2019
e_sarraff;@folha @PlinioValerio45 Senador Plínio, a folha de são Paulo não é confiável. O Sr vai continuar a divulgá-la?! Cor… https://t.co/l6oYyVGOkc;Negativo;Fri May 31 15:44:29 +0000 2019
imdanielpiva;RT @unosemcontextos: Boa tarde só pra quem está na Folha de São Paulo https://t.co/Q4TL9tgnfm;Irrelevante;Fri May 31 15:42:16 +0000 2019
edilsonsj;"@folha Repórter da jovem pan foi hospitalizado pelos manifestantes ontem a noite o link do vídeo está aqui abaixo
??… https://t.co/tizTCrG8w2";;Fri May 31 15:39:39 +0000 2019
geraldomirabeau;"RT @CarolBolsonara: Olha oq o Roberto Justus disse em entrevista a Folha de São Paulo kkk

"" Não contrataria a Dilma Rousseff para ser faxi…";;Fri May 31 15:16:04 +0000 2019
monyka9;RT @Alfredo36512346: Você sabia q a maquininha do PAGSEGURO é do grupo FOLHA DE SÃO PAULO e UOL? Sim, essas 2 empresas q atacam dia-a-dia n…;;Fri May 31 15:10:12 +0000 2019
ClovisCBMelo;Capa da Folha de São Paulo, nesta sexta-feira: https://t.co/Ns69eNuzLm;;Fri May 31 15:05:43 +0000 2019
Alfredo36512346;Você sabia q a maquininha do PAGSEGURO é do grupo FOLHA DE SÃO PAULO e UOL? Sim, essas 2 empresas q atacam dia-a-di… https://t.co/afEbXMhORD;;Fri May 31 14:55:46 +0000 2019
PauloMarcosSGom;Bolsonaro denuncia a Globo, esculacha Folha de São Paulo, detona Lula e ... https://t.co/hpJh15rqxZ via @YouTube;;Fri May 31 14:47:05 +0000 2019
Elfodido86;Folha de São Paulo fazendo resenha de filme só fala melda, palece uma metlalhadola de melda;Negativo;Fri May 31 14:45:38 +0000 2019
Neta18805206;@conexaopolitica Isso é manifestação isso é baderna agride o repórter porque não é da Globo lixo podre ou folha de São Paulo fake por isso;Negativo;Fri May 31 14:42:01 +0000 2019
Denise84181576;@UOLNoticias Só tô estranhando ele (o Presidente)dar entrevista a (FOICE)Folha de São Paulo..Não entendi nada!!..;;Fri May 31 14:35:49 +0000 2019
Cristianoo7;@o_antagonista O antagonista está ficando parecido com a Folha de São Paulo!;;Fri May 31 13:48:27 +0000 2019
Campos2Detty;"@peticialinho @dudamschuh Não é pela Folha de São Paulo, UOL, ou The Economist. 

Te garanto!??";;Fri May 31 13:48:13 +0000 2019
Campos2Detty;@JohnLoc69126467 @Amandagaldino_ É  nada, Marmitex! Me divirto  com vocês,  a Folha de São Paulo,  o Papa e a Econo… https://t.co/5LJlv0Btzu;;Fri May 31 13:46:51 +0000 2019
BRUNOES1991;@GordaoKelvin @eduardapeters22 @Daniel_leno10 Folha de São Paulo né;;Fri May 31 13:41:58 +0000 2019
andersonSPbr;@Crissrc @jairbolsonaro Presidente, a campanha acabou, faça um holocausto virtual e mande matar esses perfis Fakes,… https://t.co/MpiQ8UpxIX;;Fri May 31 13:40:13 +0000 2019
verofato;"CORTES NA EDUCAÇÃO - Protesto foi menor que do dia 15, dizem ""Folha de São Paulo"" e ""Estadão""
Leia em:… https://t.co/fjQyy40c5G";;Fri May 31 13:34:40 +0000 2019
anderockyn;@lobaoeletrico Se continuar assim, vai ser contratado pela Folha de São Paulo.;;Fri May 31 13:31:19 +0000 2019
MARIOSR07482555;@jairbolsonaro Você realmente tem estomago pra ficar ouvindo essas pseudas jornalistas que tenho certeza fizerem cu… https://t.co/5RW8AGMXho;;Fri May 31 13:30:06 +0000 2019
GustavoMunhoz__;"RT @daani_sann: Escutem o ""Café da Manhã"", podcast da Folha de São Paulo. Puta podcast bom da porra, tá maluco.";Positivo;Fri May 31 13:19:36 +0000 2019
daani_sann;"Escutem o ""Café da Manhã"", podcast da Folha de São Paulo. Puta podcast bom da porra, tá maluco.";Positivo;Fri May 31 13:16:39 +0000 2019
Campos2Detty;"@Livvy_Mo A Folha de São Paulo  também  é  considerada  um dos maiores  veículos  ""jornalísticos do Brasil"".
????????";Positivo;Fri May 31 13:04:59 +0000 2019
IvaniPretti;@veramagalhaes É  melhor vc abraçar a carreira de professora pq como jornalista e ainda da Folha de São Paulo,  vc… https://t.co/9TENgqemeu;;Fri May 31 12:57:24 +0000 2019
WyllembergD;"@o_antagonista É definitivamente o nível está chegando a folha de São Paulo....
Lamentável..";;Fri May 31 12:50:33 +0000 2019
Campos2Detty;@JuniorPR99 @Thatianesousa4 Whatsapp é  a melhor  fonte  que tem, pois destruiu a esquerdalha nas últimas eleições… https://t.co/CzdY9eTg4l;;Fri May 31 12:49:58 +0000 2019
VitorDamaceno6;@folha @roxmo Mostra tudo Folha de São Paulo! Mostra as agressões ao colega jornalista da Jovem Pan, as pichações e… https://t.co/hvyfEfRwHP;;Fri May 31 12:38:07 +0000 2019
AdvRafaelaragao;@CarlaZambelli17 Será que a Globo e a Folha de São Paulo vão repercutir o caso?!!;;Fri May 31 12:31:15 +0000 2019
Ronaldo17883729;@folha Se as emissoras de TV, jornais como essa folha de São Paulo informassem a verdade o povo não era enganado, s… https://t.co/fsCOEF2HOm;;Fri May 31 12:25:18 +0000 2019
tveroficial;Capa FOLHA DE SÃO PAULO. https://t.co/O7lfDMz8pO;;Fri May 31 12:25:15 +0000 2019
abreu_leonardo;@madsonmachado @folha Tudo copiado da Folha de São Paulo,  que não apresentou nenhuma prova até agora. Ainda estamo… https://t.co/dvvzIdKMc6;;Fri May 31 12:09:35 +0000 2019
DiegoLo2039;@WeeboAna @UOLNoticias Uol sempre critica o Bolsonaro eu sei pois já vi várias reportagens de critica .Então pq o U… https://t.co/raFF6cIHks;;Thu May 30 23:22:29 +0000 2019
LoreneSara;Extra , extra! Primeira mentira do jornal Folha de São Paulo! https://t.co/LgL2gkybyR;;Thu May 30 23:21:43 +0000 2019
Darknight_Rider;@o_antagonista Diz jornal??? Folha de São Paulo??? Kkkk;;Thu May 30 23:20:10 +0000 2019
bosco_ferreira;"RT @henriolliveira: ""Vocês da FOLHA DE SÃO PAULO têm que entrar de novo numa faculdade que preste e fazer um bom jornalismo e não contratar…";;Thu May 30 23:13:31 +0000 2019
EmersonPlatine;@folha inclusive Folha de São Paulo e Jornalistas Vocês apertem o passo pois aBiblia diz que os mentirosos  vão fic… https://t.co/MmGl8QqoZC;;Thu May 30 22:57:21 +0000 2019
emilioglienke;@DelaneBrites @uneoficial Com absoluta certeza foi 75% menor. Relacionei todos as cidades que consegui. E esse foi… https://t.co/EIdqTjWoVK;;Thu May 30 22:41:35 +0000 2019
PedroTalons;@jovemnerd @folha Porra alexandre...  Folha de são paulo? Sério;Negativo;Thu May 30 22:37:35 +0000 2019
FlaRN6;@lelispatricia Deu a louca hoje, Folha de São Paulo fazendo piada da manifestação PTista e Patrícia Lelis criticando deputada Comunista ??;;Thu May 30 22:23:40 +0000 2019
emilioglienke;@DelaneBrites @uneoficial Em comparação com dia 26 ainda é. Até folha de São Paulo já notícia que foi bem menor. https://t.co/WeYsxZb1Wa;;Thu May 30 22:21:55 +0000 2019
Alinesant_anna;@lobaoeletrico Não deixei de seguir vc qdo discordou e criticou o Bolsonaro, agora, se eu quisesse aturar falta de… https://t.co/Ga1W5Ti9mh;;Thu May 30 21:59:14 +0000 2019
libertyvalance_;Pelo que se lê, a Folha de São Paulo colabora na organização dos protestos da esquerda misturada, não só romanceand… https://t.co/pxvO4kvPyL;;Thu May 30 21:32:01 +0000 2019
corda_de;@AnaPeluso Pô. Ainda não aprendeu que notícias e comentários vindos da Globo e folha de São Paulo. Não tem a menor… https://t.co/MkSc1LLc9S;;Thu May 30 21:31:41 +0000 2019
geemece2;RT @stephanijulia: Tava mexendo em coisas antigas aqui em casa e encontrei um livro com capas importantes da Folha de São Paulo desde 1921.…;;Thu May 30 21:30:12 +0000 2019
HomerSinceo17;@leragora1 Qual antigo, esse que a folha de São Paulo de os outros propagam?;;Thu May 30 21:21:40 +0000 2019
rafael19921972;@albaexpider Bolsominions criticam a Folha de São Paulo, mas usam como fonte para satisfazer seu ego.;Neutro;Thu May 30 21:03:02 +0000 2019
victormotafelix;"@Anagabriellecs @AyanamiLilith @QuebrandoOTabu Ele quem? Bolsonaro?
Kkkkkkk
Mostra ae, não vale Folha de São Paulo,… https://t.co/BbOwGJxtJn";;Thu May 30 20:57:52 +0000 2019
Lozasso2;Doutrinando Bolivarianos/comunistas - Casa  caiu ! Bandidos da REDELIXO ou ESGOTO. Fase de extinção de uma que foi… https://t.co/1elO5TBwdt;;Thu May 30 20:26:46 +0000 2019
magrodechapeu;"RT @msantoro1978: A política na era da selfie.
Câmara dos Deputados do Brasil, maio de 2019.
Foto: Pedro Ladeira, Folha de São Paulo https:…";;Thu May 30 20:24:49 +0000 2019
DiegoLo2039;@gracegauchatche @ana_paula_nery Exato .Concordo contigo .Eles deveriam manifestar no domingo e tava vendo na folha… https://t.co/ip4goDBcVq;;Thu May 30 20:23:41 +0000 2019
FlviaFe95300226;RT @LuizAfonsoDe: NA MANIFESTAÇÃO DOS SINDICATOS, A FOLHA DE SÃO PAULO APRESENTA: “Em Brasília, manifestantes colocam fogo em boneco de Bol…;;Thu May 30 20:16:11 +0000 2019
Osbert54530281;@folha Parabéns a folha de São Paulo pela cobertura completa e imparcial das manifestações. https://t.co/0QsirzbTVN;;Thu May 30 20:15:05 +0000 2019
H3nrick17;@leonelcaldela Já pode ser contratado como crítico da Folha de São Paulo hahah;;Thu May 30 19:46:20 +0000 2019
NolanLeve2;Passeata petista maior que a do dia 26 do corrente, segundo a folha de São Paulo... https://t.co/JgxMelnNFL;;Thu May 30 19:25:40 +0000 2019
JooVladimirSil1;"@folha A folha de são paulo vai ao delirio e se acaba com estas imagens.
São uma amebas... ridículos!";;Thu May 30 19:04:44 +0000 2019
JC_escritor;"@lobaoeletrico É bandido? Vai preso.
A mãe do BOLSONARO roubou? Vai presa!
Não tem essa!
Cara...tu parece que já co… https://t.co/FXHOJTOh5M";;Thu May 30 19:01:35 +0000 2019
vini_mvini;@folha Você acha isso uma manifestação folha de são Paulo??? Seus filhos de uma p.... Jornal de quinta categoria. I… https://t.co/VrLaGpjvhj;;Thu May 30 18:49:16 +0000 2019
RickelmeRyan;Todo dia a globo pensa em uma MERDA pra dizer na folha de São Paulo, já até criticaram o filme de Dragon Ball Super… https://t.co/mb6jNnbj0W;;Thu May 30 18:40:48 +0000 2019
DireittaBrasil;@congemfoco Nossa !! Segundo a @GloboNews e a Folha de São Paulo tinha 200 mil pessoas por baixo !! #Dia30EuVouTrabalhar;;Thu May 30 18:38:32 +0000 2019
JairAntoniodaR1;@jairbolsonaro Com o grande avanço da internet,  a folha de São Paulo com o péssimo trabalho que vem  apresentando,… https://t.co/zkWR0oVgWj;;Thu May 30 18:36:34 +0000 2019
LuizAfonsoDe;NA MANIFESTAÇÃO DOS SINDICATOS, A FOLHA DE SÃO PAULO APRESENTA: “Em Brasília, manifestantes colocam fogo em boneco… https://t.co/O5YiSya7n1;;Thu May 30 18:32:55 +0000 2019
Peixot014;RT @WORD_NEWSS: Usar a Folha de São Paulo para se drogar aumenta o retardo mental em 50 vezes, diz estudo. https://t.co/tY3iPqRlue;;Thu May 30 18:14:53 +0000 2019
jcwmorsch;@OliveiraEvie Folha de São Paulo, de hoje, 30/5.;;Thu May 30 17:56:16 +0000 2019
LunaPrevil3anos;"Urgente !!!
Olha o que a Folha de São Paulo está divulgando como reportagem !!!
Fogo na camisa da seleção e ainda m… https://t.co/A56FB8G5fU";;Thu May 30 17:51:47 +0000 2019
vinniLuizLima;"Acho engraçado que para justificar o afastamento do Marco Antônio Villa, eles dizem ""Ah, a Jovem Pan é uma empresa""… https://t.co/Pl4X1O3XhU";;Thu May 30 17:42:40 +0000 2019
eduaprj;@CarvalhosaMo @VillaMarcovilla Professor, por favor, impossível achar correto o que este senhor falou em rede nacio… https://t.co/QDui4EdjFv;;Thu May 30 17:40:04 +0000 2019
NettoRenata;@deppimentel 79 mil disse o IBOPE , ou a Folha de São Paulo! Vocês são piada pronta !;;Thu May 30 17:28:02 +0000 2019
Adalber94618307;@folha Folha de São Paulo gosta de incitar provocação. Vocês acha isso correto?.;;Thu May 30 17:24:45 +0000 2019
HumorHenri;@nilmoretto @showdavida kkk folha de são paulo Nilce... pensa;;Thu May 30 16:55:46 +0000 2019
abreu_leonardo;"@nathalia_qga @cartacapital Isso demonstra a sua completa ignorância da conjuntura política.  

Ou vc já esqueceu d… https://t.co/p35d9STS07";;Thu May 30 16:53:51 +0000 2019
giovannipires;@FelsantoSnyder Folha de São Paulo é uma piada;Negativo;Thu May 30 16:43:31 +0000 2019
paulo7monteiro;@programapanico os jornalistas tem um lado sim: @MonicaWaldvogel Noblat, Catraca Livre, Folha de São Paulo, não são esquerdistas?;;Thu May 30 16:30:24 +0000 2019
DJDANIELBARBOSA;"*????Governo quer liberar dinheiro de contas ativas do FGTS para impulsionar economia* 

Folha de São Paulo / Portal… https://t.co/DWlEvEPPDd";;Thu May 30 16:20:28 +0000 2019
unosemcontextos;Boa tarde só pra quem está na Folha de São Paulo https://t.co/Q4TL9tgnfm;;Thu May 30 15:35:55 +0000 2019
Leonard54108909;@realcarlossilva @bernardopkuster Concordo que eles têm direito de manifestar, mas não em dia útil, este teu coment… https://t.co/CkYVTiG0NZ;;Thu May 30 15:33:26 +0000 2019
regis_de;"Eae pessoal vamos parar de dar ibope a #GloboLixo ?
Vamos parar de consumir, noticias da Folha de São Paulo, O glob… https://t.co/7WwyknJuf5";;Thu May 30 15:31:38 +0000 2019
Aleresendes06;@Leonard50707596 @felipeneto Acho que vcs não entendeream...rsrs... Se a Jovem Pan é criticada porque dizem que ela… https://t.co/HZRCLdpIIg;;Thu May 30 15:13:40 +0000 2019
DanielB92223922;@ifianocansado @psol50 Fontes confiáveis folha de São Paulo, Globo tá certo ????;;Thu May 30 15:02:49 +0000 2019
WillSant10;@folha Folha de São Paulo, próxima pergunta. ????;;Thu May 30 15:01:43 +0000 2019
OMundoDaMelina;RT @tveroficial: Capa FOLHA DE SÃO PAULO. https://t.co/Sf1104hhzR;;Thu May 30 14:50:11 +0000 2019
FreitasFiIho;@iann_limaa @LAMBARITO Já leu sua folha de São Paulo hoje? Recomendo até leia e veja lá Lula livre.;;Thu May 30 14:46:35 +0000 2019
